"anio","1","2","3","4","5","6","7","8","9","10","11","12"
1901,25.3000011444092,25.8000011444092,25.8999996185303,25.5,25.1000003814697,25.2000007629395,25.6000003814697,25.3999996185303,25,24.3999996185303,24.7000007629395,24.5
1902,25.3000011444092,25.8000011444092,25.8000011444092,25.5,25.1000003814697,25.2000007629395,25.6000003814697,25.3999996185303,24.8999996185303,24.5,24.8000011444092,24.6000003814697
1903,25.3000011444092,25.8000011444092,25.8999996185303,25.5,25.1000003814697,25.2000007629395,25.6000003814697,25.3999996185303,25,24.3999996185303,24.7000007629395,24.5
1904,25.2000007629395,25.8000011444092,25.8000011444092,25.5,25,25.2000007629395,25.6000003814697,25.3999996185303,25,24.3999996185303,24.8000011444092,24.5
1905,25.2000007629395,25.7000007629395,25.8000011444092,25.5,25,25.1000003814697,25.6000003814697,25.3999996185303,25,24.5,24.8000011444092,24.5
1906,25.2000007629395,25.7000007629395,25.8000011444092,25.5,25.1000003814697,25.2000007629395,25.6000003814697,25.3999996185303,24.8999996185303,24.5,24.8000011444092,24.5
1907,25.3000011444092,25.8000011444092,25.8999996185303,25.5,25,25.1000003814697,25.6000003814697,25.3999996185303,25,24.3999996185303,24.7000007629395,24.5
1908,25.3000011444092,25.7000007629395,25.8000011444092,25.3999996185303,25,25.1000003814697,25.6000003814697,25.3999996185303,25,24.3999996185303,24.7000007629395,24.5
1909,25.3000011444092,25.8000011444092,25.8999996185303,25.5,25,25.1000003814697,25.6000003814697,25.3999996185303,25,24.3999996185303,24.8000011444092,24.5
1910,25.2000007629395,25.8000011444092,25.8000011444092,25.3999996185303,25.1000003814697,25.2000007629395,25.6000003814697,25.3999996185303,25,24.5,24.8000011444092,24.5
1911,25.3000011444092,25.7000007629395,25.8999996185303,25.3999996185303,25,25.2000007629395,25.6000003814697,25.3999996185303,25,24.5,24.8000011444092,24.5
1912,25.2000007629395,25.7000007629395,25.8000011444092,25.3999996185303,25.1000003814697,25.2000007629395,25.6000003814697,25.3999996185303,25,24.3999996185303,24.7000007629395,24.5
1913,25.2000007629395,25.8000011444092,25.8999996185303,25.5,25.1000003814697,25.2000007629395,25.6000003814697,25.3999996185303,25,24.5,24.7000007629395,24.5
1914,25.2000007629395,25.7000007629395,25.8000011444092,25.3999996185303,25,25.2000007629395,25.6000003814697,25.3999996185303,25,24.3999996185303,24.8000011444092,24.6000003814697
1915,25.3000011444092,25.8000011444092,25.8999996185303,25.5,26,25.8999996185303,26.5,26.6000003814697,25.5,25.6000003814697,25.3000011444092,25.2000007629395
1916,25.5,25.8000011444092,25.8000011444092,26.1000003814697,25.7000007629395,25.6000003814697,26.1000003814697,25.3000011444092,25.5,24.5,24.7000007629395,24.3000011444092
1917,24.8000011444092,24.8000011444092,25.7000007629395,25.5,25.1000003814697,24.7000007629395,25.7000007629395,25.2000007629395,25,24.5,24.7000007629395,24.6000003814697
1918,25.1000003814697,25.3999996185303,24.8000011444092,25,24.1000003814697,24.3999996185303,25.6000003814697,25.8000011444092,25.1000003814697,24.8999996185303,24.6000003814697,24.5
1919,25.2000007629395,25.7000007629395,25.8999996185303,25.3999996185303,25.1000003814697,25.2000007629395,25.6000003814697,25.3999996185303,25,24.3999996185303,24.7000007629395,24.6000003814697
1920,25.2000007629395,25.7000007629395,25.8999996185303,25.3999996185303,25,25.2000007629395,25.6000003814697,25.3999996185303,25,24.5,24.7000007629395,24.5
1921,25.3000011444092,25.6000003814697,25,24.8999996185303,24.3999996185303,24.7000007629395,25.6000003814697,24.8999996185303,24.8999996185303,23.7000007629395,24.5,24.3000011444092
1922,25.1000003814697,25.3000011444092,25.1000003814697,25.3000011444092,24.6000003814697,24.3000011444092,25.1000003814697,25.2000007629395,24.8000011444092,24,24.1000003814697,24
1923,24.5,25.3000011444092,25.6000003814697,25.2000007629395,24.6000003814697,25.2000007629395,24.8999996185303,25.1000003814697,25.2000007629395,24.1000003814697,24.8999996185303,24.3999996185303
1924,25.8999996185303,25.8999996185303,26.7000007629395,25.8999996185303,25.3000011444092,24.6000003814697,25,25.6000003814697,24.2000007629395,24,24.3000011444092,24.1000003814697
1925,24.5,24.7000007629395,24.7000007629395,25.2000007629395,25.1000003814697,24.8999996185303,25.2000007629395,25,24.8000011444092,24.7000007629395,24.6000003814697,24.8000011444092
1926,25.7000007629395,26.3999996185303,26.5,26.5,25.8000011444092,25.7000007629395,25.6000003814697,25.3000011444092,24.7000007629395,24.5,24.8999996185303,24.2000007629395
1927,24.8999996185303,25.3000011444092,25.7000007629395,25,24.6000003814697,24.8000011444092,24.6000003814697,25.5,24.8000011444092,24.3000011444092,25.1000003814697,24.6000003814697
1928,25.1000003814697,26,25.6000003814697,25.7000007629395,25,25,25.5,25.2000007629395,24.8999996185303,24.5,24.7000007629395,24.3000011444092
1929,25.3999996185303,26,25.7000007629395,25.3999996185303,24.7000007629395,24.8999996185303,25.1000003814697,25.3000011444092,25.1000003814697,24.6000003814697,24.8999996185303,24.7000007629395
1930,26.1000003814697,27.3000011444092,27,27,25.7000007629395,25.3999996185303,25.8000011444092,25.6000003814697,25.7000007629395,24,25.2000007629395,25.2000007629395
1931,26,26.1000003814697,26.7000007629395,26.5,25,25,24.5,25.7000007629395,24.6000003814697,25.3000011444092,25.3999996185303,23.8999996185303
1932,24.3999996185303,25.3000011444092,25.3000011444092,26.1000003814697,23.7000007629395,24.3000011444092,25.2000007629395,24.7000007629395,24.7000007629395,23.3000011444092,24.7000007629395,24.1000003814697
1933,24.5,25.3999996185303,25.5,25.3999996185303,25,24.8000011444092,25.7000007629395,26.3000011444092,26.3999996185303,24.8999996185303,24.3999996185303,24.2000007629395
1934,25.5,25.5,25.7000007629395,26.8999996185303,25.8999996185303,25.6000003814697,25.7000007629395,26.8999996185303,26.1000003814697,25,25.2000007629395,25.2000007629395
1935,25.7000007629395,25.5,26.1000003814697,26.2000007629395,25.1000003814697,25.7000007629395,26.6000003814697,25.6000003814697,26.3000011444092,26,25.2000007629395,25.8999996185303
1936,27,27.2000007629395,27.8000011444092,27.2000007629395,25.8999996185303,26,26.3000011444092,27.2000007629395,26.8000011444092,25.3999996185303,26.8000011444092,25.5
1937,25.6000003814697,25.8000011444092,27.6000003814697,27.1000003814697,26,26.2000007629395,26.7000007629395,26.8000011444092,25.3999996185303,25.7000007629395,25.6000003814697,25.7000007629395
1938,25.8999996185303,26.2000007629395,25.6000003814697,25,25.1000003814697,25.8000011444092,26.2000007629395,25.3999996185303,26.2000007629395,25.3000011444092,25.3999996185303,24.8999996185303
1939,26.3000011444092,26.5,26.3999996185303,25.8999996185303,26.1000003814697,26.3000011444092,26.5,27.7000007629395,27.1000003814697,25.5,26.1000003814697,26.5
1940,26,27.3000011444092,27.6000003814697,27.3999996185303,27.1000003814697,26.3999996185303,27.2000007629395,27.7000007629395,26.5,25.8999996185303,26.2000007629395,25.3999996185303
1941,26.3000011444092,26.8000011444092,27.5,26.2000007629395,25.3999996185303,26.3999996185303,26.3000011444092,26.8999996185303,26.6000003814697,26.3999996185303,27.3000011444092,27.1000003814697
1942,26.6000003814697,26.7000007629395,26.3999996185303,26.1000003814697,25.6000003814697,26.3999996185303,26.3999996185303,26.2000007629395,26,25,25.1000003814697,25.2000007629395
1943,25.6000003814697,25.8999996185303,25.7000007629395,25.6000003814697,25,25.3999996185303,26.7000007629395,26.1000003814697,26.7000007629395,25.3000011444092,25.8999996185303,25.1000003814697
1944,25.3999996185303,25.5,26.3000011444092,26.3000011444092,24.8999996185303,24.8000011444092,26.3000011444092,26.1000003814697,25.3000011444092,25.1000003814697,24.8000011444092,24.8999996185303
1945,25.1000003814697,25.5,26.3000011444092,24.3999996185303,23.7000007629395,25,25.5,25.3999996185303,25.7000007629395,24.7000007629395,25.2000007629395,25.3999996185303
1946,25.8000011444092,25.7000007629395,25.8999996185303,24.7000007629395,24.8000011444092,25.8999996185303,26,25.8000011444092,25.8999996185303,25.3000011444092,25.1000003814697,24.7000007629395
1947,26,26.7000007629395,27.3000011444092,26.3000011444092,25.5,25.5,25.3000011444092,25.8999996185303,25.6000003814697,24.7000007629395,26,26.3000011444092
1948,26.3999996185303,26.7000007629395,26.6000003814697,25.3000011444092,25.3999996185303,25.5,25.7000007629395,26.2000007629395,26.2000007629395,25,25.6000003814697,25.7000007629395
1949,25.2000007629395,25.7000007629395,26.2000007629395,26.2000007629395,26.2000007629395,25.6000003814697,25.6000003814697,25.3000011444092,25.8000011444092,25.3000011444092,26.3000011444092,25.3999996185303
1950,25.6000003814697,25.5,25.5,25.3000011444092,25.2000007629395,24.3000011444092,24.8999996185303,25.2000007629395,26.5,24.7000007629395,24.8999996185303,25
1951,24.3000011444092,24.5,25.5,26,25.3999996185303,25,25.3000011444092,25.8000011444092,25.6000003814697,26.2000007629395,25.8000011444092,25.2000007629395
1952,25.5,26.3999996185303,26.2000007629395,26.1000003814697,25.6000003814697,25.6000003814697,26.1000003814697,26.2000007629395,26.8000011444092,26,25.7000007629395,25
1953,25.6000003814697,26.3999996185303,25.8999996185303,26.8000011444092,25.5,25.8999996185303,26.6000003814697,26.6000003814697,26.1000003814697,25.1000003814697,26,25.7000007629395
1954,26.2000007629395,26.2000007629395,27.1000003814697,25.7000007629395,25.6000003814697,25.3999996185303,25.3000011444092,25.3000011444092,25.7000007629395,24.3000011444092,25,24.3999996185303
1955,25.7000007629395,26.3999996185303,25.2000007629395,25.6000003814697,25.5,25.2000007629395,25.1000003814697,26.1000003814697,25.3999996185303,24.7000007629395,26,25.2000007629395
1956,24.7000007629395,25.7000007629395,26.5,26.8000011444092,25.7000007629395,26.2000007629395,26.5,25.8999996185303,25.8999996185303,24.7000007629395,26,25
1957,25.7000007629395,26.3000011444092,26.8000011444092,26.5,25.8999996185303,26.7000007629395,26.3000011444092,26.6000003814697,26.3999996185303,25.6000003814697,26.8999996185303,26.7000007629395
1958,27.3000011444092,28.2000007629395,28.8000011444092,27.3000011444092,26.3999996185303,26.8999996185303,27.3999996185303,27.1000003814697,27.5,27.3999996185303,26.7000007629395,26.2000007629395
1959,27,27.8999996185303,27.8999996185303,27.3000011444092,25.8000011444092,25.6000003814697,26.7000007629395,26.3999996185303,26.3999996185303,25.5,26,26.2000007629395
1960,26.5,27.3999996185303,26.8999996185303,26.3999996185303,26.1000003814697,25.8999996185303,26.3999996185303,26,26.3000011444092,25.7000007629395,26.5,25
1961,26.2000007629395,26.8999996185303,27,26.6000003814697,27,25.8999996185303,25.8999996185303,26.2000007629395,26,25.5,24.8999996185303,26
1962,25.8999996185303,26.3000011444092,25.8000011444092,25.8000011444092,25.1000003814697,25,26.6000003814697,25.6000003814697,26.3000011444092,25.6000003814697,25.5,26.1000003814697
1963,26.1000003814697,26,26.6000003814697,25.6000003814697,25,26.3000011444092,26,26.3000011444092,26.3000011444092,26.1000003814697,25.5,26.3999996185303
1964,27.1000003814697,27.7000007629395,27.7000007629395,25.6000003814697,25.8999996185303,24.5,25.3999996185303,25.3000011444092,25.1000003814697,25,25.5,24.3999996185303
1965,24.7000007629395,26.2000007629395,27.2000007629395,25,24.7000007629395,26,26.7000007629395,25.8000011444092,25.7000007629395,25.3999996185303,25.3000011444092,25.7000007629395
1966,27.2000007629395,27.5,26.6000003814697,26.3999996185303,25.7000007629395,25.2000007629395,25.8000011444092,25.8000011444092,25.5,24.8000011444092,24.5,24.2000007629395
1967,25.1000003814697,25.3000011444092,25.2000007629395,25,25.1000003814697,24.8000011444092,25,25.8999996185303,25.5,25.1000003814697,25.1000003814697,25.3000011444092
1968,25.3999996185303,25.3999996185303,25.5,24.8999996185303,24.8999996185303,24.3999996185303,25.3999996185303,25.5,24.6000003814697,25,25.8000011444092,25.3999996185303
1969,25.5,26.2000007629395,27.7000007629395,26.5,26.6000003814697,26.6000003814697,27,25.7000007629395,25.6000003814697,24.6000003814697,25.3999996185303,25.3999996185303
1970,25.7000007629395,26,26.6000003814697,26.2000007629395,25.2000007629395,25.6000003814697,25.2000007629395,24.8999996185303,24.1000003814697,24.3000011444092,24,24.7000007629395
1971,24,24.3999996185303,24.6000003814697,25.1000003814697,24,24.6000003814697,25.1000003814697,24.2000007629395,24,23.8999996185303,24.5,24.2000007629395
1972,24.3999996185303,25.5,25.5,25.5,24.7000007629395,25.6000003814697,26.5,25.3000011444092,26.2000007629395,25.3999996185303,25.8000011444092,25.3000011444092
1973,27.1000003814697,27,27.2000007629395,26.6000003814697,25.6000003814697,24.3999996185303,25.2000007629395,24.7000007629395,23.6000003814697,23.8000011444092,24.1000003814697,23
1974,23.3999996185303,24.6000003814697,23.8999996185303,24.6000003814697,24.3000011444092,24.7000007629395,25.2000007629395,24.8999996185303,23.7000007629395,23.8999996185303,24,24.3000011444092
1975,24.8000011444092,24.8999996185303,25.5,25.1000003814697,24.3999996185303,25,24.1000003814697,24.3000011444092,23.8000011444092,23.3999996185303,23.3999996185303,21.8999996185303
1976,23.8999996185303,23.3999996185303,23.8000011444092,24.7000007629395,24.3999996185303,24.6000003814697,25.5,25.7000007629395,25.8000011444092,23.7000007629395,24.8999996185303,24.3999996185303
1977,25.7000007629395,26.6000003814697,26.3999996185303,25.3999996185303,24.6000003814697,24.8000011444092,25.6000003814697,25.2000007629395,25,24.3999996185303,24.8999996185303,25.3999996185303
1978,25.6000003814697,26.3999996185303,25.5,24.6000003814697,25.1000003814697,24.7000007629395,25.2000007629395,25.7000007629395,25,24.7000007629395,25.1000003814697,24.3000011444092
1979,24.8000011444092,26.3000011444092,25.1000003814697,25.3999996185303,24.7000007629395,24.7000007629395,25.7000007629395,25.5,24.2000007629395,24.5,24.6000003814697,24.6000003814697
1980,25.6000003814697,25.5,26.8999996185303,26.5,26.1000003814697,25.8999996185303,25.8000011444092,25.7000007629395,25.2000007629395,24.6000003814697,24.6000003814697,24.3999996185303
1981,25.3000011444092,25.8000011444092,26.1000003814697,24.5,24,24,25.1000003814697,24.7000007629395,24.5,24.2000007629395,24.8999996185303,24.7000007629395
1982,24.7000007629395,24.6000003814697,25,24.3000011444092,24.3000011444092,25.6000003814697,25.5,26.5,25.3000011444092,24.1000003814697,24.8999996185303,24.3999996185303
1983,26.3999996185303,27.1000003814697,27,25.7000007629395,25.6000003814697,26.2000007629395,26,25.8999996185303,25.6000003814697,24.3999996185303,25.6000003814697,24.3000011444092
1984,24.3999996185303,25.2000007629395,25.5,25.7000007629395,24.6000003814697,24.8000011444092,24.6000003814697,24.7000007629395,23.7000007629395,24,24.3999996185303,23.6000003814697
1985,24.2000007629395,26.3000011444092,25.3000011444092,25.2000007629395,24.8999996185303,25.3999996185303,25.6000003814697,24.8000011444092,24.7000007629395,24.2000007629395,23.8999996185303,24
1986,24.6000003814697,24.3999996185303,25,25.1000003814697,25,25.1000003814697,26.2000007629395,26.1000003814697,25.3000011444092,24,24.7000007629395,25.2000007629395
1987,25.6000003814697,26.7000007629395,26.8999996185303,26.3999996185303,25.6000003814697,26.3000011444092,25.8000011444092,25.7000007629395,25.3000011444092,24.1000003814697,25.6000003814697,25.6000003814697
1988,25.7000007629395,25.8000011444092,26.3000011444092,25.5,25.7000007629395,25.2000007629395,25.3000011444092,24,24.1000003814697,24,24.1000003814697,23
1989,24.1000003814697,24.5,24.5,25.7000007629395,24.7000007629395,25.1000003814697,25.6000003814697,25.8000011444092,24.3999996185303,24.2000007629395,25.2000007629395,24.3999996185303
1990,25,24.5,25.2000007629395,25.5,25,26,25.8999996185303,26.2000007629395,25.8000011444092,24.2000007629395,25,24.2000007629395
1991,25.6000003814697,26.3999996185303,25.8999996185303,25.8999996185303,25.2000007629395,25.6000003814697,25.6000003814697,25.3000011444092,25.5,25.3000011444092,25.2000007629395,23.8000011444092
1992,25.2000007629395,26.3999996185303,26.8999996185303,26.3999996185303,25.7000007629395,26.1000003814697,25,24.8999996185303,24.6000003814697,25.1000003814697,25,24.1000003814697
1993,25.2000007629395,25.8000011444092,26.3000011444092,26.2000007629395,24.8999996185303,26,26,25.8999996185303,25,25.3000011444092,25.3000011444092,25.1000003814697
1994,25.3999996185303,26.1000003814697,26,25.8000011444092,25.3000011444092,25.6000003814697,25.5,25.6000003814697,25.6000003814697,24.6000003814697,25.5,25.3000011444092
1995,26.3000011444092,26.6000003814697,26.2000007629395,26.3999996185303,26,25.8999996185303,26.1000003814697,25.3999996185303,25.8000011444092,24.8999996185303,25.8000011444092,25.5
1996,24.7000007629395,24.8999996185303,25.1000003814697,24.8000011444092,25.3999996185303,25.6000003814697,24.3999996185303,24.6000003814697,23.8000011444092,23.2000007629395,23.1000003814697,24.1000003814697
1997,23.2000007629395,24.3000011444092,24.3000011444092,24.8999996185303,24.3999996185303,24.8000011444092,25.1000003814697,24.6000003814697,24.2000007629395,24,24.3999996185303,24.1000003814697
1998,25.8000011444092,27.3000011444092,25.3000011444092,25.3000011444092,25,24.8000011444092,24.8000011444092,24.6000003814697,23.8000011444092,23.8000011444092,23.7000007629395,23
1999,23.3000011444092,23.6000003814697,25.8000011444092,25.8999996185303,25.6000003814697,25.6000003814697,25.8000011444092,25.6000003814697,24.7000007629395,24.5,25.3000011444092,24.3000011444092
2000,24.5,25.1000003814697,25.3000011444092,25.8000011444092,25.3000011444092,25.3000011444092,25.7000007629395,25.8999996185303,25,25.2000007629395,24.8999996185303,25.3000011444092
2001,25.8000011444092,26,26.3000011444092,26.1000003814697,26,25.6000003814697,26.2000007629395,26.5,25.8000011444092,25.6000003814697,25.5,25.8000011444092
2002,26.1000003814697,26.3000011444092,26.2000007629395,25.6000003814697,25.8000011444092,25.3000011444092,26.3999996185303,24.7000007629395,24,23.8000011444092,24.2000007629395,24.2000007629395
2003,24.5,25.1000003814697,25.5,25.2000007629395,25,24.1000003814697,24.3999996185303,23.8000011444092,23.8999996185303,23.6000003814697,23.7000007629395,23.6000003814697
2004,23.3000011444092,24.7000007629395,25.1000003814697,24.3000011444092,23.6000003814697,24.6000003814697,24.3999996185303,24.7000007629395,22.8999996185303,23.3000011444092,23.5,22.8000011444092
2005,23.1000003814697,24,25.3999996185303,25.2000007629395,24,24.7000007629395,25.1000003814697,24.6000003814697,23.8999996185303,23,23.2000007629395,22.3999996185303
2006,23.1000003814697,23.7000007629395,24.1000003814697,23.7000007629395,23.7000007629395,24.5,24.8000011444092,24.6000003814697,24,23.7000007629395,23.3999996185303,23.1000003814697
2007,23.8000011444092,24.5,25.2000007629395,24.8000011444092,24.5,24.6000003814697,24.7000007629395,24,23,22.8999996185303,25,22.5
2008,25,25.5,25.5,25.5,24.7000007629395,25.2000007629395,25.5,25.3000011444092,25.2000007629395,24.1000003814697,24.5,23.8000011444092
2009,24.8999996185303,24.7000007629395,24.3000011444092,25.5,25.3000011444092,26.2000007629395,25.8999996185303,26.3999996185303,26.2000007629395,25.5,25.8000011444092,26.2000007629395
2010,27.3999996185303,27.2000007629395,27.8999996185303,26.3999996185303,25.8999996185303,26.1000003814697,26,25.8000011444092,24.8999996185303,24.8000011444092,24.5,24.2000007629395
2011,25.3999996185303,25.6000003814697,24.8000011444092,25.1000003814697,25.2000007629395,25.3999996185303,25.8000011444092,26.1000003814697,25.6000003814697,24.3000011444092,24.8999996185303,24.1000003814697
2012,24.7000007629395,25.5,25.5,25.2000007629395,25.3000011444092,26,26.3999996185303,26.1000003814697,25.8000011444092,25.3000011444092,25.3999996185303,25.6000003814697
2013,26.2000007629395,25.3999996185303,26.3000011444092,26.6000003814697,25.3999996185303,26.3000011444092,26.7000007629395,26.1000003814697,25.8999996185303,25.8999996185303,25.5,25.2000007629395
2014,26,26,26.5,27.2000007629395,26,26.6000003814697,27.2000007629395,26.8999996185303,26.3000011444092,25.3000011444092,25.7000007629395,25.7000007629395
2015,26.2000007629395,25.8999996185303,26.1000003814697,26.3000011444092,26.6000003814697,26.1000003814697,26.6000003814697,27.1000003814697,26.6000003814697,26.2000007629395,25.2000007629395,26.6000003814697
2016,27.1000003814697,26.6000003814697,26.7000007629395,26.7000007629395,26.1000003814697,26.1000003814697,26.5,27.2000007629395,26.2000007629395,25.8999996185303,24.3000011444092,25.2000007629395
2017,24.7000007629395,25.3999996185303,24.8000011444092,26,25.5,25.6000003814697,26,25.5,26.7000007629395,25.6000003814697,26.6000003814697,24.3999996185303
2018,24.6000003814697,25.3999996185303,25.8999996185303,25,24.8999996185303,25.3999996185303,25.8999996185303,26,25.6000003814697,24.8000011444092,25.2000007629395,25.5
2019,25.8000011444092,26.3000011444092,26,26,25.5,26.1000003814697,26.5,26.3999996185303,25.8999996185303,24.7000007629395,25.3999996185303,25.6000003814697
2020,25.8999996185303,27.3999996185303,26.8999996185303,26.5,25.8000011444092,25.5,25.8999996185303,25.6000003814697,25.2000007629395,25.2000007629395,24.8000011444092,24.8000011444092
2021,25.1000003814697,26,24.8000011444092,25.3999996185303,25.2000007629395,24.8000011444092,25.8000011444092,25,25,25,24.8999996185303,24.8999996185303
2022,25.2000007629395,25,25.1000003814697,25.2000007629395,24.8999996185303,24,25.3000011444092,24.8999996185303,24.6000003814697,24.3999996185303,24.3999996185303,24.5
2023,24.5,25.8999996185303,25.3000011444092,25.3999996185303,26,26.6000003814697,26.8999996185303,26.7000007629395,26.6000003814697,25.5,25.8999996185303,25.5
2024,26.8999996185303,27.1000003814697,26.6000003814697,26.3999996185303,26.1000003814697,25.3999996185303,26.3999996185303,26.6000003814697,26.8999996185303,25.3000011444092,25.3000011444092,25.3999996185303
